190.233.181.18 - - [23/Jul/2022:20:05:02 +0200] "GET /admin HTTP/1.1" 308 5249 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:101.0) Gecko/20100101 Firefox/101.0"
190.233.181.18 - - [23/Jul/2022:20:05:12 +0200] "GET /admin/ HTTP/1.1" 500 474 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:101.0) Gecko/20100101 Firefox/101.0"
190.233.181.18 - - [23/Jul/2022:20:08:57 +0200] "GET /admin/ HTTP/1.1" 500 5200 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:101.0) Gecko/20100101 Firefox/101.0"
190.233.181.18 - - [23/Jul/2022:20:14:56 +0200] "GET /admin/ HTTP/1.1" 200 13591 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:101.0) Gecko/20100101 Firefox/101.0"
190.233.181.18 - - [23/Jul/2022:20:15:24 +0200] "GET /admin/vendors/feather/feather.css HTTP/1.1" 404 440 "https://pdfonline.es/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:101.0) Gecko/20100101 Firefox/101.0"
190.233.181.18 - - [23/Jul/2022:20:15:24 +0200] "GET /admin/vendors/mdi/css/materialdesignicons.min.css HTTP/1.1" 404 440 "https://pdfonline.es/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:101.0) Gecko/20100101 Firefox/101.0"
190.233.181.18 - - [23/Jul/2022:20:15:25 +0200] "GET /admin/js/select.dataTables.min.css HTTP/1.1" 404 440 "https://pdfonline.es/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:101.0) Gecko/20100101 Firefox/101.0"
190.233.181.18 - - [23/Jul/2022:20:15:25 +0200] "GET /admin/vendors/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 764 "https://pdfonline.es/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:101.0) Gecko/20100101 Firefox/101.0"
190.233.181.18 - - [23/Jul/2022:20:15:25 +0200] "GET /admin/vendors/css/vendor.bundle.base.css HTTP/1.1" 404 764 "https://pdfonline.es/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:101.0) Gecko/20100101 Firefox/101.0"
190.233.181.18 - - [23/Jul/2022:20:15:25 +0200] "GET /admin/vendors/datatables.net-bs4/dataTables.bootstrap4.css HTTP/1.1" 404 764 "https://pdfonline.es/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:101.0) Gecko/20100101 Firefox/101.0"
190.233.181.18 - - [23/Jul/2022:20:15:25 +0200] "GET /admin/vendors/typicons/typicons.css HTTP/1.1" 404 764 "https://pdfonline.es/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:101.0) Gecko/20100101 Firefox/101.0"
190.233.181.18 - - [23/Jul/2022:20:15:25 +0200] "GET /admin/vendors/ti-icons/css/themify-icons.css HTTP/1.1" 404 764 "https://pdfonline.es/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:101.0) Gecko/20100101 Firefox/101.0"
190.233.181.18 - - [23/Jul/2022:20:15:25 +0200] "GET /admin/css/vertical-layout-light/style.css HTTP/1.1" 404 440 "https://pdfonline.es/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:101.0) Gecko/20100101 Firefox/101.0"
190.233.181.18 - - [23/Jul/2022:20:15:25 +0200] "GET /admin/vendors/js/vendor.bundle.base.js HTTP/1.1" 404 440 "https://pdfonline.es/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:101.0) Gecko/20100101 Firefox/101.0"
